rank3,rank2,rank1,neighborhood,rank4
le-marais,republique,bastille,soho,quartier-latin
quartier-latin,republique,montparnasse,midtown,opera-grands-boulevards
louvre-tuileries,le-marais,la-villette,long-island-city,saint-germain-des-pres-odeon
invalides-ecole-militaire,place-d-italie-quartier-chinois,quartier-latin,little-italy,port-royal
republique,bastille,quartier-latin,hell-s-kitchen,batignolles
tour-eiffel-champs-de-mars,buttes-chaumont-belleville,la-villette,inwood,invalides-ecole-militaire
montmartre,quartier-latin,bastille,harlem,canal-saint-martin
buttes-chaumont-belleville,la-villette,invalides-ecole-militaire,kensington,tour-eiffel-champs-de-mars
le-marais,quartier-latin,saint-paul-ile-saint-louis,jackson-heights,saint-germain-des-pres-odeon
bastille,quartier-latin,republique,greenwich-village,le-marais
saint-paul-ile-saint-louis,canal-saint-martin,le-marais,greenpoint,saint-germain-des-pres-odeon
saint-paul-ile-saint-louis,bastille,quartier-latin,flushing,republique
montparnasse,louvre-tuileries,chatelet-les-halles-beaubourg,financial-district,la-chapelle
le-marais,republique,bastille,east-village,montmartre
quartier-latin,saint-paul-ile-saint-louis,louvre-tuileries,east-harlem,la-villette
republique,montparnasse,bastille,downtown-brooklyn,gare-du-nord-gare-de-i-est
montparnasse,bastille,quartier-latin,chinatown,republique
le-marais,republique,bastille,chelsea,quartier-latin
le-marais,republique,bastille,bushwick,quartier-latin
quartier-latin,republique,bastille,brooklyn-heights,le-marais
buttes-chaumont-belleville,la-villette,le-marais,bedford-stuyvesant,louvre-tuileries
place-d-italie-quartier-chinois,vaugirard,invalides-ecole-militaire,battery-park-city,buttes-chaumont-belleville
bastille,republique,quartier-latin,astoria,montmartre
la-villette,place-d-italie-quartier-chinois,invalides-ecole-militaire,washington-heights,buttes-chaumont-belleville
buttes-chaumont-belleville,la-villette,invalides-ecole-militaire,lefferts-garden,tour-eiffel-champs-de-mars
place-d-italie-quartier-chinois,republique,le-marais,alphabet-city,vaugirard
louvre-tuileries,montparnasse,chatelet-les-halles-beaubourg,civic-center,la-chapelle
montparnasse,republique,bastille,boerum-hill,canal-saint-martin
montparnasse,bastille,republique,cobble-hill,quartier-latin
batignolles,republique,bastille,carroll-gardens,canal-saint-martin
saint-paul-ile-saint-louis,quartier-latin,saint-germain-des-pres-odeon,clinton-hill,republique
port-royal,quartier-latin,republique,crown-heights,la-chapelle
le-marais,republique,bastille,fort-greene,montparnasse
montparnasse,la-villette,quartier-latin,gowanus,saint-paul-ile-saint-louis
quartier-latin,republique,bastille,gramercy-park,le-marais
batignolles,montparnasse,la-villette,flatbush,buttes-chaumont-belleville
republique,opera-grands-boulevards,montparnasse,flatiron-district,bastille
place-d-italie-quartier-chinois,montparnasse,quartier-latin,hudson-square,opera-grands-boulevards
invalides-ecole-militaire,buttes-chaumont-belleville,pere-lachaise-menilmontant,kips-bay,vaugirard
canal-saint-martin,bastille,le-marais,meatpacking-district,la-villette
republique,bastille,montparnasse,midtown-east,gare-du-nord-gare-de-i-est
le-marais,republique,bastille,lower-east-side,quartier-latin
quartier-latin,le-marais,republique,west-village,bastille
canal-saint-martin,le-marais,bastille,williamsburg,republique
invalides-ecole-militaire,batignolles,place-d-italie-quartier-chinois,windsor-terrace,vaugirard
bastille,la-chapelle,montparnasse,murray-hill,opera-grands-boulevards
port-royal,batignolles,montparnasse,morningside-heights,vaugirard
republique,saint-germain-des-pres-odeon,le-marais,noho,quartier-latin
republique,opera-grands-boulevards,montparnasse,nolita,le-marais
quartier-latin,bastille,republique,park-slope,batignolles
quartier-latin,bastille,republique,prospect-heights,batignolles
republique,bastille,quartier-latin,red-hook,le-marais
vaugirard,buttes-chaumont-belleville,bastille,ridgewood,la-chapelle
la-chapelle,montparnasse,chatelet-les-halles-beaubourg,times-square-theatre-district,quartier-latin
place-d-italie-quartier-chinois,la-villette,louvre-tuileries,south-street-seaport,le-marais
quartier-latin,bastille,republique,tribeca,le-marais
le-marais,bastille,republique,union-square,quartier-latin
louvre-tuileries,le-marais,saint-germain-des-pres-odeon,upper-east-side,bastille
quartier-latin,bastille,republique,upper-west-side,le-marais
