rank3,rank2,rank1,neighborhood,rank4
williamsburg,chelsea,east-village,le-marais,soho
nolita,tribeca,alphabet-city,vaugirard,carroll-gardens
chelsea,east-village,tribeca,republique,williamsburg
williamsburg,east-village,chelsea,quartier-latin,soho
chelsea,williamsburg,east-village,pigalle-saint-georges,soho
tribeca,soho,nolita,opera-grands-boulevards,midtown
soho,midtown,nolita,montparnasse,tribeca
williamsburg,chelsea,east-village,montmartre,soho
east-village,long-island-city,williamsburg,la-villette,chelsea
chelsea,williamsburg,east-village,canal-saint-martin,soho
williamsburg,chelsea,east-village,bastille,soho
williamsburg,chelsea,east-village,pere-lachaise-menilmontant,bushwick
alphabet-city,nolita,chelsea,champs-elysees,east-village
williamsburg,chelsea,park-slope,batignolles,carroll-gardens
alphabet-city,soho,tribeca,invalides-ecole-militaire,kensington
east-village,long-island-city,lower-east-side,louvre-tuileries,chelsea
williamsburg,chelsea,east-village,buttes-chaumont-belleville,clinton-hill
bushwick,chelsea,east-village,chatelet-les-halles-beaubourg,soho
midtown,bushwick,nolita,gare-du-nord-gare-de-i-est,soho
tribeca,soho,nolita,la-chapelle,alphabet-city
tribeca,soho,nolita,madeleine-vendome,alphabet-city
east-village,tribeca,soho,notre-dame-ile-de-la-cite,noho
nolita,chelsea,alphabet-city,palais-royal,brooklyn-heights
chelsea,alphabet-city,tribeca,place-d-italie-quartier-chinois,soho
little-italy,clinton-hill,tribeca,port-royal,midtown
greenpoint,bushwick,meatpacking-district,porte-de-clignancourt,east-village
chelsea,williamsburg,east-village,saint-paul-ile-saint-louis,clinton-hill
east-village,long-island-city,clinton-hill,tour-eiffel-champs-de-mars,little-italy
williamsburg,east-village,chelsea,saint-germain-des-pres-odeon,soho
